ds,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),t,rh,ah,yhat,yhat_lower,yhat_upper
2004-03-15 04:00:00,-200,1078,44,4,711,66,1150,71,1468,1013,12.3,65.4,0.9351,60.97462439,45.65985204,76.86857576
2004-03-15 05:00:00,1,1075,39,3.9,703,88,1156,74,1464,1010,11.9,67.4,0.9375,61.90299384,46.34779065,77.73000144
2004-03-15 06:00:00,1.4,1157,51,6.4,830,138,1030,80,1584,1083,11.4,70.5,0.9475,62.39569222,46.29885626,78.50991095
2004-03-15 07:00:00,2.2,1314,107,9.7,966,228,897,89,1710,1235,11.3,70.2,0.9401,61.43561766,47.8447577,77.5918514
2004-03-15 08:00:00,5.5,1797,336,25.9,1451,360,652,114,2323,1680,12.4,63.9,0.917,58.27620733,44.52644008,73.13332196
2004-03-15 09:00:00,8.1,1961,618,36.7,1701,478,537,149,2665,2184,14.8,54.3,0.9076,53.18360041,38.02831187,68.75260336
2004-03-15 10:00:00,5.8,1771,438,26.6,1470,394,622,157,2262,1973,17.4,45.6,0.8993,47.46265853,32.38251804,62.59364355
2004-03-15 11:00:00,4.2,1564,334,20.1,1300,319,710,155,2029,1798,19.8,38.5,0.8801,42.66805613,27.51698417,58.1682297
2004-03-15 12:00:00,3.1,1430,221,14.1,1120,201,831,134,1783,1522,22,34.1,0.8904,39.63909436,23.268658,55.49687189
2004-03-15 13:00:00,2.9,1417,207,14.9,1146,171,830,119,1831,1404,23.3,32.2,0.9096,38.16303999,22.53430598,52.82236471
2004-03-15 14:00:00,2.9,1400,191,15.4,1162,159,838,111,1829,1263,23.9,30,0.8757,37.49810499,22.25697333,53.08156547
2004-03-15 15:00:00,2.5,1317,185,12.1,1053,153,926,104,1707,1137,24.4,28.9,0.8736,37.21327126,20.56637,53.08681918
2004-03-15 16:00:00,2.3,1318,141,11.5,1033,143,950,99,1675,1068,24.4,29.4,0.8848,37.55672007,21.61770455,52.78135476
2004-03-15 17:00:00,2.8,1445,214,14.8,1141,156,857,110,1824,1252,23.8,31.3,0.9137,39.06203474,23.62185756,54.5791668
2004-03-15 18:00:00,6.1,1917,471,32.1,1601,314,631,162,2447,1843,22.5,35.4,0.9547,41.84283968,26.31637947,56.7445696
2004-03-15 19:00:00,8,2040,685,39.2,1754,404,542,187,2679,2122,20.4,42.5,1.0086,45.29634085,31.14431478,60.57884026
2004-03-15 20:00:00,6.5,1895,538,31,1573,320,565,165,2443,1992,18.3,52.6,1.0945,48.49896921,34.14206473,63.28896046
2004-03-15 21:00:00,4.2,1595,319,19.9,1294,256,678,145,2058,1707,16.7,57.4,1.0786,50.89093227,35.96174904,66.51393527
2004-03-15 22:00:00,3.2,1439,224,15.3,1159,193,764,125,1856,1494,15.7,60.2,1.0654,52.59141721,37.34843686,68.07910231
2004-03-15 23:00:00,1.4,1142,67,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.058,54.08949692,37.78416073,69.8264199
2004-03-16 00:00:00,2.1,1304,155,11.1,1019,127,852,103,1731,1272,14.1,65.7,1.0494,55.68292871,40.67177316,72.33226645
2004-03-16 01:00:00,1.2,1074,49,5.4,784,79,1098,88,1483,1040,14.8,60.6,1.0148,57.24797626,41.93116672,71.89174191
2004-03-16 02:00:00,0.8,968,29,2.8,640,43,1320,61,1386,867,14.8,59.2,0.9879,58.52332442,42.21936454,74.26393904
2004-03-16 03:00:00,0.7,929,25,2.3,608,-200,1376,-200,1364,826,13.6,62.1,0.9636,59.51803797,44.76273517,73.98112598
2004-03-16 04:00:00,-200,941,25,2.6,626,59,1316,59,1373,840,12.3,66.2,0.945,60.51852147,44.75483527,76.3742542
2004-03-16 05:00:00,0.6,937,17,2,585,38,1412,52,1348,793,12.8,63.2,0.9283,61.62242335,46.06731491,76.62447772
2004-03-16 06:00:00,0.9,1017,27,3.5,681,82,1246,64,1418,870,11.2,68.5,0.9081,62.29586539,47.0353594,76.73754799
2004-03-16 07:00:00,1.3,1171,50,5.1,770,99,1162,70,1467,930,11,66.5,0.8705,61.52011381,46.23103685,76.19041195
2004-03-16 08:00:00,3.4,1541,218,16.2,1185,263,770,97,1889,1407,11.7,63.7,0.8719,58.54692997,42.57844321,74.14346338
2004-03-16 09:00:00,3.7,1539,285,19.7,1287,229,698,95,2055,1507,13.6,56.3,0.8743,53.64075231,38.07141902,69.31834874
2004-03-16 10:00:00,5.3,1735,437,25.1,1431,396,628,150,2211,1843,17.8,42.9,0.8672,48.10473609,32.650736,65.40020762
2004-03-16 11:00:00,4.1,1571,327,20,1297,314,730,162,1973,1729,21.4,33.3,0.8417,43.49186305,27.61083912,59.26770264
2004-03-16 12:00:00,3.3,1452,283,18.3,1250,217,776,154,1868,1583,24.4,27.4,0.8231,40.63977454,24.51141695,55.79772992
2004-03-16 13:00:00,4,1579,366,22.3,1359,252,724,161,1998,1671,25.3,26.1,0.8264,39.33412916,23.94436824,54.14250836
2004-03-16 14:00:00,3.8,1466,318,20.4,1309,263,773,161,1897,1491,25.8,23.2,0.7589,38.8316005,23.58130679,53.85917482
2004-03-16 15:00:00,2.8,1280,228,14.6,1136,180,893,128,1675,1240,27,20.2,0.7094,38.69971913,22.9965474,53.69757085
2004-03-16 16:00:00,2.9,1407,201,16.6,1197,184,905,129,1759,1313,28.2,18.6,0.7014,39.18531833,23.26616919,54.6461535
2004-03-16 17:00:00,2.9,1389,199,15.8,1173,190,898,133,1739,1363,28,19.1,0.7098,40.82075168,25.75803554,57.43319372
2004-03-16 18:00:00,3.4,1447,237,17.8,1235,184,859,139,1778,1296,23.9,25.7,0.7519,43.71854571,28.31298729,59.07907896
2004-03-16 19:00:00,3.9,1551,261,19.1,1271,181,800,137,1875,1432,21.3,34.8,0.873,47.27495228,31.29538069,63.42189759
2004-03-16 20:00:00,3.2,1474,230,15.8,1173,166,854,143,1776,1432,20.4,36.7,0.8704,50.56560229,35.20196151,65.42751046
2004-03-16 21:00:00,5.1,1800,349,24.9,1426,317,700,177,2106,2034,19,41.3,0.9007,53.03006558,37.70131643,69.61713458
2004-03-16 22:00:00,2.6,1379,183,13.5,1101,184,818,138,1710,1602,17.9,45.9,0.9342,54.78706049,39.09289486,70.19036805
2004-03-16 23:00:00,1.7,1201,88,9.1,943,130,935,117,1560,1362,16.7,48.9,0.9226,56.32536429,39.91034554,71.26814735
2004-03-17 00:00:00,1.7,1205,85,8.6,925,132,922,107,1547,1314,15.5,52.9,0.9271,57.94261418,42.28070044,73.59474031
2004-03-17 01:00:00,1.2,1072,47,5.4,784,95,1066,90,1442,1114,15.5,51.9,0.9059,59.51512954,43.27935038,76.17868556
2004-03-17 02:00:00,0.9,998,34,4.1,714,70,1169,79,1383,992,14.1,55.6,0.891,60.78182483,45.59525585,76.12802828
2004-03-17 03:00:00,0.7,933,26,2.6,625,-200,1292,-200,1332,884,13.1,57.9,0.8666,61.75216441,45.68267039,77.59999156
2004-03-17 04:00:00,-200,883,17,1.9,577,54,1396,60,1303,808,12.7,57.9,0.8447,62.71311649,48.08950583,78.44250168
2004-03-17 05:00:00,0.5,869,11,1.6,554,28,1460,40,1268,667,11.8,58,0.8026,63.76304932,48.50406199,79.17965231
2004-03-17 06:00:00,0.5,891,18,1.9,576,46,1417,53,1289,733,11.9,57.4,0.7978,64.36895097,48.83353971,79.22172978
2004-03-17 07:00:00,1.6,1173,84,7.5,878,160,1038,84,1556,1052,9.9,65.2,0.7956,63.51308911,47.96751786,77.83421035
2004-03-17 08:00:00,4.1,1587,260,21.4,1334,320,702,108,1999,1534,11.1,60.2,0.7958,60.44834863,43.54090068,75.2406179
2004-03-17 09:00:00,6.6,1852,534,36.4,1696,377,553,127,2535,1931,14.1,50,0.802,55.44039932,39.32758279,69.70576589
2004-03-17 10:00:00,4.3,1522,368,21.3,1331,280,703,134,2026,1734,17.7,40.1,0.8048,49.79371998,34.09260393,64.91828024
2004-03-17 11:00:00,2.9,1438,200,15.4,1161,221,819,135,1782,1595,21.1,33.4,0.8265,45.06269158,30.95654577,60.55226425
2004-03-17 12:00:00,2.5,1393,145,12.5,1067,210,905,142,1654,1490,24.3,28.3,0.8471,42.08641292,26.94845641,58.12320579
2004-03-17 13:00:00,2.8,1452,188,15.1,1152,204,861,153,1747,1508,25.6,25.6,0.8254,40.65204032,25.81995333,57.45011288
2004-03-17 14:00:00,2.6,1389,152,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503,40.01776704,25.61801914,56.15855927
2004-03-17 15:00:00,2,1207,103,10.4,994,135,1013,104,1520,1045,26.8,18.7,0.65,39.75264673,23.2267989,55.81729785
2004-03-17 16:00:00,2.9,1365,193,15.2,1154,186,940,129,1679,1221,29.3,15.8,0.6309,40.10502077,24.87403733,56.14223928
2004-03-17 17:00:00,2.5,1247,134,12.3,1060,147,1032,114,1525,1069,28.5,14.9,0.5708,41.60871781,25.41602227,57.20723833
2004-03-17 18:00:00,5,1557,386,27,1478,299,793,158,1981,1569,25.9,16,0.5237,44.37768882,28.73681612,59.5428565
2004-03-17 19:00:00,7.6,1973,577,38.4,1737,411,617,194,2414,2306,23.1,26.5,0.7403,47.80954269,33.09390446,63.90231043
2004-03-17 20:00:00,6.7,1975,523,35.1,1667,347,597,182,2416,2359,20.5,38.2,0.9133,50.98118412,35.67012253,66.41456202
2004-03-17 21:00:00,5.7,1795,472,27.2,1485,336,653,180,2174,2050,19.1,42.6,0.9294,53.33335881,36.92312763,69.02502844
2004-03-17 22:00:00,2.8,1444,206,15,1150,202,770,136,1727,1727,17.2,44.1,0.8558,54.98584969,38.26796027,70.24581333
2004-03-17 23:00:00,2.6,1488,216,15.7,1171,178,731,127,1778,1705,16,50.9,0.9206,56.42837546,41.26763695,71.44526474
2004-03-18 00:00:00,2.3,1371,159,13,1083,154,796,116,1669,1551,14.8,53.9,0.9024,57.95938139,42.87858997,72.84060321
2004-03-18 01:00:00,1.4,1161,70,8.1,904,92,947,107,1502,1240,14.3,55.4,0.8975,59.45585302,44.21077258,74.33704395
2004-03-18 02:00:00,1,1064,44,5.5,787,61,1057,88,1407,1115,14.8,52.1,0.8686,60.65722248,44.81628559,77.0878565
2004-03-18 03:00:00,0.7,970,42,3.6,687,-200,1196,-200,1351,969,13.9,53.9,0.8501,61.57331859,46.60382086,76.69713658
2004-03-18 04:00:00,-200,954,28,2.9,645,60,1260,78,1334,925,11.6,61.9,0.8442,62.49131806,46.70328485,78.75281067
2004-03-18 05:00:00,0.6,931,20,2.5,623,37,1293,57,1307,828,12,58.9,0.8233,63.50964093,47.0613457,78.1606674
2004-03-18 06:00:00,0.7,938,26,3,650,68,1251,71,1333,893,10.9,62.1,0.8113,64.09517166,47.68384504,78.92724984
2004-03-18 07:00:00,1.5,1166,78,7.7,885,139,1005,85,1551,1075,10.6,63.3,0.8067,63.22992207,47.54279257,78.48380781
2004-03-18 08:00:00,4.7,1643,319,23.3,1384,339,667,124,2094,1610,11.5,60,0.8117,60.16637418,45.65102028,75.17479266
2004-03-18 09:00:00,6.6,1934,506,35.8,1682,421,541,151,2468,2051,14.3,50.6,0.8186,55.16965487,40.20695236,70.9472656
2004-03-18 10:00:00,4.5,1617,-200,21.3,1333,349,686,150,2010,1819,17.8,40.5,0.821,49.54356874,33.89264677,63.20758963
2004-03-18 11:00:00,2.8,1473,-200,14.3,1127,224,831,152,1752,1568,20.8,34.4,0.8365,44.84170167,28.91135022,60.35361919
2004-03-18 12:00:00,2.2,1379,-200,12.5,1068,171,899,139,1663,1374,23.8,28.2,0.8219,41.90224838,26.92395377,56.8056634
2004-03-18 13:00:00,2.2,1385,-200,12.2,1056,149,891,133,1648,1268,24.2,28.7,0.8515,40.51136529,25.21372719,56.45619591
2004-03-18 14:00:00,2.3,1379,-200,13.1,1087,137,901,126,1660,1144,25.2,24.9,0.7829,39.92616433,23.82483967,55.26655794
2004-03-18 15:00:00,2.2,1322,-200,14.4,1129,149,934,128,1639,1109,27,17.8,0.6275,39.71455177,23.85640955,54.60080407
2004-03-18 16:00:00,2.8,1496,-200,16.8,1205,172,822,169,1767,1347,27.1,23.1,0.818,40.12367163,24.3306423,55.56679818
2004-03-18 17:00:00,2.7,1409,-200,14.5,1131,166,873,149,1689,1206,25.8,23.9,0.7832,41.68612187,26.76978939,57.26496577
2004-03-18 18:00:00,3.7,1513,-200,21.5,1338,214,764,156,1957,1397,23,26.8,0.7446,44.51460651,29.06958667,59.45428105
2004-03-18 19:00:00,5.1,1667,-200,26.4,1464,280,683,168,2118,1588,20.7,31.1,0.7523,48.00548834,32.50289162,63.53416901
